,Mkt-RF,SMB,HML,RF
20070405,1.55,-0.03,-0.69,0.11
20070413,0.57,0.19,-0.04,0.11
20070420,1.81,-1.06,0.39,0.11
20070427,0.42,-0.38,-1.05,0.11
20070504,0.69,-0.52,0.16,0.1
20070511,-0.09,-0.67,0.42,0.1
20070518,0.82,-1.48,-0.32,0.1
20070525,-0.34,1.2,-0.47,0.1
20070601,1.57,1.05,-0.31,0.1
20070608,-2,-0.01,-0.17,0.1
20070615,1.57,-0.1,-0.21,0.1
20070622,-1.98,0.46,-0.13,0.1
20070629,0.02,0.09,-0.65,0.1
20070706,1.88,-0.01,-0.65,0.1
20070713,1.24,-0.9,-0.75,0.1
20070720,-1.34,-0.44,-1.38,0.1
20070727,-5.17,-1.47,-0.86,0.1
20070803,-1.9,-0.94,-1.5,0.1
20070810,1.41,2.1,-0.93,0.1
20070817,-0.74,-0.38,1.81,0.1
20070824,2.32,-0.73,-0.42,0.1
20070831,-0.44,-0.02,-1.01,0.1
20070907,-1.33,-0.53,-0.29,0.08
20070914,1.84,-1.18,-0.57,0.08
20070921,2.65,0.4,0.04,0.08
20070928,0.06,-0.87,-1.29,0.08
20071005,2.28,1.91,0.19,0.08
20071012,0.29,-0.91,-0.83,0.08
20071019,-3.86,-0.98,-1,0.08
20071026,2.17,0.49,-0.62,0.08
20071102,-1.63,-0.94,-1.82,0.09
20071109,-3.68,0.3,1.28,0.09
20071116,0.17,-0.8,-0.52,0.09
20071123,-1.48,-0.32,-0.22,0.09
20071130,2.8,-1.48,-0.4,0.09
20071207,1.73,0.16,0.22,0.07
20071214,-2.63,-1.2,-0.72,0.07
20071221,1.23,2.48,-0.44,0.07
20071228,-0.49,-1.25,0.04,0.07
20080104,-4.75,-1.51,-0.02,0.05
20080111,-1.12,-1.47,-0.63,0.05
20080118,-5.17,1.29,0.05,0.05
20080125,0.63,0.79,2.8,0.05
20080201,5.06,0.6,2.71,0.03
20080208,-4.3,0.43,0.21,0.03
20080215,1.26,-1.4,-0.01,0.03
20080222,0.08,-0.84,0.09,0.03
20080229,-1.54,0.55,-1.06,0.03
20080307,-2.97,-0.73,-0.19,0.04
20080314,-0.44,0.83,-0.3,0.04
20080320,2.7,-0.91,1.39,0.04
20080328,-0.71,1.48,-0.98,0.04
20080404,4.18,-0.08,-0.39,0.04
20080411,-2.65,-0.93,0.14,0.04
20080418,3.97,0.15,0.02,0.04
20080425,0.45,-0.71,-0.83,0.04
20080502,1.16,-0.64,0.86,0.04
20080509,-1.5,0.96,-0.48,0.04
20080516,2.72,0.43,-0.71,0.04
20080523,-3.22,1.12,-0.09,0.04
20080530,2.11,1.05,-0.52,0.04
20080606,-2.41,1.6,-0.59,0.04
20080613,-0.16,-0.45,-0.98,0.04
20080620,-2.8,1.95,-0.6,0.04
20080627,-3.26,-0.68,-0.76,0.04
20080703,-1.94,-3.06,-0.86,0.04
20080711,-1.3,2.62,-2.61,0.04
20080718,1.63,0.14,5.76,0.04
20080725,-0.04,2.95,0,0.04
20080801,0.39,-0.52,2.98,0.03
20080808,2.56,1.02,0.23,0.03
20080815,0.63,2.93,-0.58,0.03
20080822,-0.68,-1.5,-1.53,0.03
20080829,-0.49,0.14,2.33,0.03
20080905,-3.17,0.14,4.29,0.04
20080912,0.48,-0.63,0.45,0.04
20080919,0.88,1.43,5.53,0.04
20080926,-4.02,-2.34,-2.29,0.04
20081003,-9.6,-1.79,0.71,0.02
20081010,-18.02,3.6,-4.43,0.02
20081017,4.6,-3.55,1.43,0.02
20081024,-7.23,-3.25,-1.36,0.02
20081031,10.77,2.6,1.03,0.02
20081107,-4.02,-1.65,-1.83,0.01
20081114,-6.44,-2.56,-2.97,0.01
20081121,-8.76,1.15,-8.79,0.01
20081128,12.62,-0.47,9.85,0.01
20081205,-2.14,-0.34,2.49,0
20081212,0.65,1.25,-3.44,0
20081219,1.34,1.97,0.06,0
20081226,-1.62,0.16,-0.8,0
20090102,6.85,-0.76,1.39,0
20090109,-4.08,1.3,-2.31,0
20090116,-4.15,2.73,-5.87,0
20090123,-2.51,-2.28,-2.32,0
20090130,-0.6,-0.16,-1.14,0
20090206,5.4,1.03,-0.9,0
20090213,-4.42,0.83,-3.49,0
20090220,-6.88,0.1,-5.63,0
20090227,-4.21,-1.87,3,0
20090306,-7.05,-0.56,-6.76,0
20090313,10.7,-1.26,8.55,0
20090320,1.77,0.44,2.1,0
20090327,6.45,-0.45,3.82,0
20090403,3.46,2.62,0.73,0
20090409,1.75,-0.07,3.45,0
20090417,1.56,0.98,1.94,0
20090424,-0.44,1.55,-2.37,0
20090501,1.65,0.53,-1.29,0
20090508,5.64,-3.19,7.76,0
20090515,-5.09,0.08,-5.26,0
20090522,0.72,0.02,-0.7,0
20090529,3.71,0.93,-0.29,0
20090605,2.6,3.73,-1.14,0
20090612,0.59,-1.43,0.16,0
20090619,-2.71,0.2,-1.13,0
20090626,-0.07,1.09,-0.65,0
20090702,-2.3,-0.04,-0.77,0
20090710,-2.13,-1.18,-1.44,0
20090717,7.05,0.41,3.69,0
20090724,4.39,1.24,1.11,0
20090731,0.91,0.51,2.43,0
20090807,2.47,-0.69,5.51,0
20090814,-0.62,-0.68,0.31,0
20090821,2.16,1.05,0.58,0
20090828,0.19,-0.15,1.58,0
20090904,-1.08,-0.03,-2.01,0
20090911,2.8,1.51,1.72,0
20090918,2.58,1.18,2,0
20090925,-2.3,-0.47,-1.83,0
20091002,-1.88,-1.2,-0.72,0
20091009,4.66,1.11,2.87,0
20091016,1.39,-0.64,-0.37,0
20091023,-0.86,-1.57,-1.44,0
20091030,-4.42,-2.33,-3.43,0
20091106,3.38,0.05,0.1,0
20091113,2.17,-1.46,0.76,0
20091120,-0.17,0.09,-0.54,0
20091127,-0.05,-0.69,-1.26,0
20091204,1.59,2.73,0.56,0
20091211,0.15,-0.39,0.01,0
20091218,-0.01,1.78,0.34,0
20091224,2.35,1.53,0.06,0
20091231,-1.02,-0.23,-0.09,0
