Dates,Mom   
20070402,0.36
20070403,0.14
20070404,0.14
20070405,-0.01
20070409,0.14
20070410,-0.16
20070411,0.05
20070412,-0.28
20070413,-0.08
20070416,-0.45
20070417,0.07
20070418,-0.2
20070419,0
20070420,0.22
20070423,0.36
20070424,-0.41
20070425,-0.23
20070426,-0.14
20070427,0.01
20070430,0.02
20070501,-0.4
20070502,-0.01
20070503,-0.06
20070504,0.23
20070507,0.14
20070508,0.01
20070509,-0.31
20070510,0.17
20070511,0.14
20070514,0.15
20070515,0.32
20070516,0.04
20070517,-0.1
20070518,0.08
20070521,0.16
20070522,-0.25
20070523,-0.24
20070524,-0.63
20070525,0.26
20070529,0.14
20070530,0.3
20070531,-0.22
20070601,-0.2
20070604,-0.12
20070605,0.24
20070606,-0.09
20070607,-0.51
20070608,0.04
20070611,0.29
20070612,-0.15
20070613,0.47
20070614,0.35
20070615,0.3
20070618,0.05
20070619,0.22
20070620,-0.72
20070621,0.21
20070622,-0.42
20070625,-0.12
20070626,0.01
20070627,0.33
20070628,0.16
20070629,0.41
20070702,0.57
20070703,0.22
20070705,0.39
20070706,0.04
20070709,0.16
20070710,0.11
20070711,0.32
20070712,0.48
20070713,0.14
20070716,0.09
20070717,0.28
20070718,0.04
20070719,0.53
20070720,-0.12
20070723,0.58
20070724,-0.42
20070725,-0.6
20070726,-0.22
20070727,-0.34
20070730,0.59
20070731,0.19
20070801,-0.1
20070802,0.74
20070803,0.02
20070806,-1.26
20070807,0.07
20070808,-1.25
20070809,-1.1
20070810,1.13
20070813,1.56
20070814,-0.43
20070815,-1.08
20070816,-2.31
20070817,-0.07
20070820,1.06
20070821,0.4
20070822,1.1
20070823,0.32
20070824,0.57
20070827,0.42
20070828,-0.43
20070829,0.68
20070830,0.46
20070831,0.21
20070904,0.21
20070905,0.31
20070906,0.17
20070907,-0.47
20070910,0.48
20070911,0.44
20070912,0.23
20070913,-0.16
20070914,-0.11
20070917,0.23
20070918,0.03
20070919,0.08
20070920,0.92
20070921,0.46
20070924,0.69
20070925,0.94
20070926,0.1
20070927,0.09
20070928,-0.11
20071001,0.05
20071002,-0.68
20071003,-0.93
20071004,0.41
20071005,-0.13
20071008,0.57
20071009,0.72
20071010,0.6
20071011,-0.66
20071012,0.89
20071015,0.74
20071016,1.01
20071017,0.6
20071018,0.93
20071019,-0.33
20071022,-0.69
20071023,1.33
20071024,0.41
20071025,0.4
20071026,-0.13
20071029,0.44
20071030,-0.65
20071031,0.67
20071101,0.59
20071102,1.08
20071105,0.28
