yManuf,yHlth,Intercept,Mkt.RF,SMB,HML,RMW,CMA,MOM
0.015903457,0.025445396,1,0.015569364,-0.00120122,-0.005589239,-0.002999288,0.002700178,0.006311406
0.009673349,0.02375037,1,0.005769172,0.002595137,-0.00060279,-0.002697761,0.002599396,-0.003301172
0.012740666,0.019708565,1,0.018164797,-0.009300212,0.005001363,0.007718238,0.001889291,-0.003608294
0.013102762,0.000163078,1,0.004163236,-0.003309307,-0.010068629,0.005700467,0.001591871,-0.004110058
0.00567804,0.008537875,1,0.006937029,-0.004552252,0.00380197,0.005103698,0.001897008,-0.002208425
0.004583381,-0.014944369,1,-0.000854835,-0.006001567,0.0054044,0.001896805,-0.003808019,0.001492892
0.018814256,0.002935958,1,0.008270815,-0.014154128,-0.000815949,0.00521057,-0.001312342,0.004904856
-0.00755085,0.001081778,1,-0.003174414,0.011992521,-0.00588818,0.000497388,-0.002503065,-0.00700594
0.020051796,0.004773108,1,0.015881933,0.010623819,-0.00369783,0.003603531,-0.007382883,0.000190122
-0.023745916,-0.026044494,1,-0.019773053,-0.001100709,-0.000902371,-0.001900149,-0.004301096,-0.004407389
0.02996188,0.010381292,1,0.015736483,0.00038106,-0.002998647,0.003403691,0.003904391,0.012652438
-0.021441256,-0.031783504,1,-0.019683849,0.00489318,-0.001402267,-0.002599319,0.000490262,-0.00661764
-0.001471817,0.008030105,1,0.000142331,-2.73E-05,-0.005399587,0.00310238,0.001994122,0.007915343
0.023895482,0.009747804,1,0.019007919,9.85E-05,-0.006597261,0.006312066,-0.003100612,0.012248136
0.029041292,0.008211528,1,0.012599435,-0.008375565,-0.007583844,0.006113022,-0.004592325,0.01215381
-0.005920101,-0.019909479,1,-0.013504386,-0.007000031,-0.01333158,-0.002603217,0.003698937,0.008214441
-0.061807914,-0.037604354,1,-0.051733801,-0.015811619,-0.006493809,-0.004991646,-0.006995275,-0.010001538
-0.018427112,-0.005715058,1,-0.018921265,-0.010496603,-0.014531466,-0.00430935,-0.000907544,0.014456595
0.015130802,0.012215203,1,0.014177773,0.019357356,-0.011407116,-0.003166801,-0.015124815,-0.024088522
-0.016485457,-0.00728588,1,-0.007329304,-0.002056968,0.016755968,-0.004294671,0.009018914,-0.023479637
0.029461618,0.017484574,1,0.02342227,-0.007024765,-0.003004409,-9.12E-06,0.00130018,0.034951828
-0.002613624,-0.002514299,1,-0.004198431,-0.001801507,-0.010763399,0.001599209,-0.000601709,0.013435625
-0.003685599,0.000151295,1,-0.013175584,-0.005292143,-0.002904191,-0.004693832,-0.007287525,0.002182859
0.022251044,0.014392316,1,0.01844993,-0.011581064,-0.005300886,0.0036001,-0.01273565,0.008812945
0.037893074,0.019045742,1,0.026368896,0.004157006,0.000782542,0.001494074,-0.005791786,0.017292193
-0.000417812,-0.001693047,1,0.000650419,-0.010384235,-0.010966703,-0.005790411,-0.006484895,0.017176741
0.010566951,0.026510777,1,0.022891237,0.020017014,0.000796728,-0.003595871,-7.06E-06,-0.012793551
