Dates,Manuf,Hlth 
20070402,0.74,0.39
20070403,0.53,1.06
20070404,0.2,0.45
20070405,0.2,0.71
20070409,0.29,0.06
20070410,0.51,0.21
20070411,-0.66,-0.07
20070412,0.85,0.99
20070413,0.09,1.28
20070416,0.78,0.87
20070417,-0.07,0.36
20070418,-0.16,-0.37
20070419,-0.55,0.64
20070420,1.39,0.57
20070423,0.17,-0.14
20070424,-0.04,-0.23
20070425,1.3,0.68
20070426,-0.01,0.22
20070427,0,-0.4
20070430,-0.99,-0.67
20070501,0.26,0.53
20070502,0.86,0.48
20070503,0.41,0.15
20070504,0.13,0.46
20070507,0.37,0.27
20070508,-0.08,-0.33
20070509,0.41,0.12
20070510,-1.52,-2.1
20070511,1.39,0.65
20070514,0.15,-0.03
20070515,-0.02,-0.41
20070516,0.49,0.8
20070517,0.42,-0.52
20070518,0.92,0.55
20070521,0.51,0.29
20070522,-0.42,0.18
20070523,-0.22,0.12
20070524,-1.47,-0.49
20070525,0.95,0.1
20070529,0.01,0.08
20070530,1.42,-0.09
20070531,0,0.36
20070601,0.64,0.2
20070604,0.44,-0.1
20070605,-0.44,-0.44
20070606,-1.2,-0.94
20070607,-2.13,-1.75
20070608,1.06,0.71
20070611,0.26,0.07
20070612,-1.09,-0.92
20070613,1.8,0.96
20070614,1.07,0.21
20070615,1.04,0.82
20070618,-0.1,-0.5
20070619,0.02,0.11
20070620,-1.93,-1.4
20070621,1.13,0.27
20070622,-1.16,-1.59
20070625,-0.47,-0.22
20070626,-0.93,0.53
20070627,1.12,0.8
20070628,-0.09,0.1
20070629,0.33,-0.31
20070702,1.49,0.88
20070703,0.34,0.19
20070705,0.09,0.09
20070706,0.53,-0.11
20070709,0.74,-0.05
20070710,-1.09,-1.06
20070711,0.69,0.73
20070712,1.99,1.35
20070713,0.66,-0.04
20070716,-0.8,-0.11
20070717,-0.09,-0.51
20070718,0.78,-0.48
20070719,0.91,-0.02
20070720,-1.28,-0.79
20070723,0.48,0.85
20070724,-2.53,-1.37
20070725,0.53,0.45
20070726,-2.9,-1.82
20070727,-1.77,-1.8
20070730,1.27,0.52
20070731,-0.91,-0.96
20070801,0.7,0.71
20070802,0.13,0.69
20070803,-2.9,-1.42
20070806,1.48,2.12
20070807,1.15,0.39
20070808,1.18,1.52
20070809,-2.86,-1.94
20070810,0.71,-0.73
20070813,-0.18,0
20070814,-1.49,-0.92
20070815,-1.99,-0.47
20070816,-0.64,-0.28
20070817,2.8,1.04
20070820,0.5,0.03
20070821,-0.53,0.01
20070822,1.43,0.95
20070823,-0.07,0.15
20070824,1.69,0.69
20070827,-1.03,-0.61
20070828,-2.39,-1.36
20070829,2.53,1.23
20070830,-0.26,-0.16
20070831,1.05,0.76
20070904,1.37,0.93
20070905,-0.62,-0.34
20070906,0.8,0.82
20070907,-1.82,-1.31
20070910,-0.5,-0.03
20070911,1.44,1.04
20070912,0.39,0.3
20070913,0.55,0.29
20070914,0.42,-0.08
20070917,-0.29,-0.93
20070918,2.86,1.86
20070919,0.82,0.95
20070920,-0.21,-0.46
20070921,0.67,0.58
20070924,-0.54,-0.29
20070925,-0.23,-0.09
20070926,0.69,0.68
20070927,0.58,0.17
20070928,-0.45,-0.55
20071001,1.35,1.34
20071002,-0.62,-0.21
20071003,-0.86,0.39
20071004,0.46,0.37
20071005,0.81,0.81
20071008,-0.51,-0.46
20071009,1.43,0.37
20071010,0.03,-0.13
20071011,-0.33,-0.49
20071012,0.68,0.37
20071015,-0.14,-0.83
20071016,-0.23,-0.89
20071017,-0.22,-0.1
20071018,0.43,0.29
20071019,-3.06,-1.26
20071022,-0.12,-0.18
20071023,0.78,1.19
20071024,0.52,-0.29
20071025,0.46,-0.11
20071026,1.01,0.52
20071029,0.69,0.28
20071030,-1.66,-0.19
20071031,1.68,0.69
20071101,-2.54,-1.77
20071102,0.84,0.02
20071105,-0.2,-0.29
20071106,1.8,0.43
20071107,-2.55,-2.03
20071108,1.06,0.4
20071109,-1.69,-0.54
20071112,-2.5,0.18
20071113,1.93,1.34
20071114,-0.2,-0.1
20071115,-1.47,-0.31
20071116,0.74,0.42
20071119,-1.4,-1.03
20071120,1.66,0.19
20071121,-1.37,-1.61
20071123,1.43,1.43
20071126,-1.69,-1.19
20071127,0.44,2.14
20071128,2.29,1.88
20071129,0.38,0.32
20071130,0.43,0.3
20071203,0.05,-0.91
20071204,-0.48,-0.39
20071205,1.6,0.89
20071206,1.73,0.62
20071207,0.1,-0.15
20071210,0.65,0.21
20071211,-2.39,-1.49
20071212,1.38,0.12
20071213,0.66,-0.27
20071214,-1.4,-1.1
20071217,-1.8,-1.25
20071218,0.98,0.66
20071219,0.07,-0.33
20071220,1.02,0.43
20071221,1.81,1.08
20071224,0.62,0.17
20071226,0.45,-0.12
20071227,-1.13,-1.25
20071228,0.55,-0.02
20071231,-1.01,-0.91
20080102,-0.66,-0.62
20080103,0.33,0.32
20080104,-2.11,-1.17
20080107,-0.52,1.82
20080108,-1.49,0.93
20080109,0.95,1.61
20080110,0.19,0.31
20080111,-1.42,0.2
20080114,1.48,-0.43
20080115,-2.64,-1.53
20080116,-1.95,0.54
20080117,-3.66,-1.77
20080118,-0.01,-1.67
20080122,-1.87,-2.52
20080123,1.39,-0.04
20080124,1.46,-0.08
20080125,-0.7,-1.7
20080128,1.56,1.4
20080129,0.59,0.18
20080130,-0.26,-1.14
20080131,1.14,0.8
20080201,1.49,1.61
20080204,0.09,0.52
20080205,-3.23,-1.99
20080206,-0.91,-0.07
20080207,0.71,0.21
20080208,0.46,-1.03
20080211,1.63,0.06
20080212,0.53,1.11
20080213,1.72,1.07
20080214,-0.65,-1.27
20080215,-0.34,0.11
20080219,1.31,0.28
20080220,1.08,-0.25
20080221,-1.67,-1.11
20080222,0.76,0.03
20080225,2.04,2.08
20080226,0.94,0.43
20080227,-0.68,-0.86
20080228,0.29,-0.63
20080229,-2.82,-1.14
20080303,0.7,0.22
20080304,-0.8,0.1
20080305,1.25,-0.19
20080306,-1.93,-2
20080307,-1.78,-0.95
20080310,-1.55,-1.61
20080311,3.89,1.86
20080312,-0.81,-0.11
20080313,1.19,0.44
20080314,-1.46,-1.87
20080317,-1.72,-0.35
20080318,3.35,2.49
20080319,-4.02,-0.55
20080320,0.52,1
20080324,1.52,0.92
20080325,0.75,0.22
20080326,0.76,-0.22
20080327,-0.75,-0.17
20080328,-0.39,-0.58
20080331,0.58,-0.27
20080401,2.35,2.05
20080402,0.7,-0.69
20080403,0.15,0.04
20080404,1.06,0.97
20080407,0.1,0.47
20080408,0.42,-0.37
20080409,-0.13,-0.71
20080410,0.22,1.29
20080411,-1.39,-1.55
20080414,0.89,-0.5
20080415,0.76,-0.42
20080416,2.66,0.87
20080417,-0.4,-1.17
20080418,1.63,0.84
20080421,0.27,-0.63
20080422,-0.6,-0.93
20080423,-0.36,0.84
20080424,-1.08,0.35
20080425,1.16,0.67
20080428,-0.26,0.49
20080429,-1.22,-1.07
20080430,0.39,-0.32
20080501,-0.39,1.69
20080502,0.89,-0.22
20080505,0.34,-0.34
20080506,1.32,-0.11
20080507,-1.33,-1.42
20080508,1.25,0.24
20080509,-0.49,-0.38
20080512,0.68,0.79
20080513,0.79,-0.47
20080514,-0.24,0.54
20080515,1.13,0.06
20080516,1.31,0.14
20080519,0.54,0.24
20080520,0.25,-0.23
20080521,-1.35,-0.82
20080522,-0.39,0.59
20080523,-1.55,-1.01
20080527,-0.14,0.54
20080528,1.23,-0.09
20080529,-0.77,1.72
20080530,0.75,0.23
20080602,-0.38,-0.75
20080603,-1.04,0.16
20080604,-0.41,0.3
20080605,2.73,0.89
20080606,-2.16,-2.34
20080609,1.56,-0.48
20080610,-1.17,-0.41
20080611,-0.3,-1.38
20080612,-0.59,0.44
20080613,1.43,1.27
20080616,0.17,-0.21
20080617,0.67,-0.26
20080618,-0.44,-0.77
20080619,-0.81,1.16
20080620,-1.23,-1.31
20080623,1.87,0.18
20080624,-1.55,0.24
20080625,-0.23,0.84
20080626,-2.16,-1.96
20080627,0.08,0.41
20080630,1.1,1.04
20080701,0.32,0.92
20080702,-2.96,-0.45
20080703,-0.29,0.45
